Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_Bullish FVG Top,Exit_Bullish FVG Top,Entry_Bullish FVG Bottom,Exit_Bullish FVG Bottom,Entry_Bearish FVG Bottom,Exit_Bearish FVG Bottom,Entry_Bearish FVG Top,Exit_Bearish FVG Top
1031,960,961,58.27,57.74,57.74,59.330000000000005,-785.6426200000012,239.21262000000002,-0.01307739831817404,2026-01-06 14:00:00+00:00,2026-01-06 16:00:00+00:00,0 days 02:00:00,,,,,,,58.18,,58.28
-1040,964,965,56.96,55.699999999999996,57.59,55.699999999999996,1076.0672000000054,234.33280000000002,0.018165028089887715,2026-01-06 22:00:00+00:00,2026-01-07 00:00:00+00:00,0 days 02:00:00,,,,,,,56.57,,56.74
-1067,970,971,56.57,56.99,56.99,55.73,-690.4770400000018,242.33704,-0.011439278769665957,2026-01-07 10:00:00+00:00,2026-01-07 12:00:00+00:00,0 days 02:00:00,,,,,,,,,
-1056,982,983,56.46,56.74,,,-534.7584000000012,239.07840000000002,-0.008969181721572838,2026-01-08 10:00:00+00:00,2026-01-08 12:00:00+00:00,0 days 02:00:00,,56.29,56.67,56.19,56.42,,,,
1043,984,986,56.67,57.43000000000001,56.29,57.43000000000001,554.6674000000053,238.01260000000002,0.009384153873301751,2026-01-08 14:00:00+00:00,2026-01-08 18:00:00+00:00,0 days 04:00:00,,,57.15,,57.13,,,,
1026,989,990,58.17,58.0,,58.31,-412.80084000000176,238.38084,-0.006916623689186866,2026-01-09 00:00:00+00:00,2026-01-09 02:00:00+00:00,0 days 02:00:00,,,,,,,58.09,,58.17
-1020,991,992,58.09,58.2,58.2,57.870000000000005,-349.43159999999943,237.23160000000001,-0.005897400585298566,2026-01-09 04:00:00+00:00,2026-01-09 06:00:00+00:00,0 days 02:00:00,,,,,,,,,
996,998,1000,59.15,58.9,,,-484.1556,235.1556,-0.00821808960270504,2026-01-09 18:00:00+00:00,2026-01-11 22:00:00+00:00,2 days 04:00:00,,,,,,,,,
-991,1000,1001,58.93,59.48,,58.10999999999999,-779.7386199999972,234.68862000000001,-0.013351773290344333,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,0 days 02:00:00,,,,,,,,,
-977,1008,1009,59.03,59.2,59.2,58.69,-397.11142000000166,231.02141999999998,-0.006885651363713456,2026-01-12 14:00:00+00:00,2026-01-12 16:00:00+00:00,0 days 02:00:00,,,,,,,,,
933,1032,1035,61.34,60.85,60.85,62.32000000000001,-685.1765400000019,228.00654000000003,-0.011972285621128197,2026-01-14 14:00:00+00:00,2026-01-14 20:00:00+00:00,0 days 06:00:00,,,,,,,,,
-960,1052,1053,58.94,59.12,,58.639999999999986,-399.4751999999997,226.67519999999996,-0.007060061079063496,2026-01-16 06:00:00+00:00,2026-01-16 08:00:00+00:00,0 days 02:00:00,,,,,,,,,
945,1056,1060,59.46,58.86,,60.56000000000001,-790.6248000000014,223.6248,-0.01407063572149346,2026-01-16 14:00:00+00:00,2026-01-18 22:00:00+00:00,2 days 08:00:00,,,,,,,59.11,,59.14
-937,1061,1062,59.11,59.39,59.39,58.55,-484.42900000000105,222.06900000000002,-0.008746405007612899,2026-01-19 00:00:00+00:00,2026-01-19 02:00:00+00:00,0 days 02:00:00,,,59.22,,59.11,,,,
